ID,Pret mp,Pret,Localitate,TURDA,CAMPIA TURZII,GILAU,GHERLA,DEJ,MUNTELE CACOVEI,FELEACU,MOCIU,AGHIRESU, HUEDIN,JUCU DE MIJLOC,JUC-HERGHELIE,CHINTENI,AGHIRESU-FABRICI,AGHIRESU2,AGHIRESU3,Cartier sursa,cartier trimmed,Cartier recodat,Objectid 1 (Recodat),Object ID (Una noua),Camere,Suprafata utila,Suprafata construita,Compartimentare,Decomandat,Nedecomandat,Semidecomandat,Etaj,Demisol,Parter,Etaj 1,Etaj 2,Etaj 3,Etaj 4,Etaj 5,Etaj 6,Etaj 7,Etaj 8,Etaj 9,Etaj 10,Etaj 11,Etaj 12,Etaj 13,Etaj 14,Etaj 15,Mansarda,Etaj 22,Total etaje bloc,Stadiul constructiei,Finalizat,In constructie,Proiect,Bai,Loc de parcare,Tipul incalzirii,Centrala,Termoficare,Confort,Confort 1,Confort 2,Confort 3,Lux,Data constructiei,Tip vanzator,Comision,Tip vanzator2,Agentie,Dezvoltator,BancŽŸ,Tip apartament,Electricitate,Canal,Apa,Gaz,Parchet,Termopan,Balcon,Mobilat,Internet,Interfon,Lift,Aer conditionat,Sistem alarma,Terasa,Dressing,Gradina,Debara,Piscina,Semineu,Sauna,Boxa,Jaluzele,Latitudine,Longitudine,Distanta fata de centru,DFDC,Post date intermediar,Data achizitie date,SIRINF,SIRSUP
1,1160,58000,CAMPIA TURZII,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,CAMPIA TURZII,0,CAMPIA TURZII,2,2,2,50,0,0,0,0,0,Parter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Finalizat,1,0,0,1,0,Centrala proprie,1,0,0,0,0,0,0,0,Proprietar verificat,0,Proprietar,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5338411,23.8850061,0.378701276,37.8701276,06.04.2021,2021-04-10-17:14,55366,55357
2,500,29999,CAMPIA TURZII,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,CAMPIA TURZII,0,CAMPIA TURZII,2,2,2,60,0,Decomandat,1,0,0,Etaj 4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Finalizat,1,0,0,1,0,Termoficare,0,1,Confort I,1,0,0,0,0,Proprietar verificat,0,Proprietar,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46.5339171,23.8850011,0.378650015,37.8650015,01.04.2021,2021-04-10-17:14,55366,55357
3,668,65500,CAMPIA TURZII,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,CAMPIA TURZII,0,CAMPIA TURZII,2,2,4,98,0,Decomandat,1,0,0,Etaj 4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Finalizat,1,0,0,2,0,Centrala proprie,1,0,0,0,0,0,0,0,Proprietar verificat,0,Proprietar,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5343417,23.8845062,0.377998370,37.7998370,15.04.2021,2021-04-17-16:28,55366,55357
4,863,72500,CAMPIA TURZII,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,CAMPIA TURZII,0,CAMPIA TURZII,2,2,4,84,0,Decomandat,1,0,0,Etaj 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Finalizat,1,0,0,2,0,Centrala proprie,1,0,0,0,0,0,0,0,Proprietar verificat,0,Proprietar,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5354714,23.8880839,0.380106229,38.0106229,17.03.2021,2021-03-28-13:00,55366,55357
5,862,56000,CAMPIA TURZII,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,CAMPIA TURZII,0,CAMPIA TURZII,2,2,3,65,0,Decomandat,1,0,0,Parter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Finalizat,1,0,0,1,1,Centrala proprie,1,0,Confort I,1,0,0,0,0,Proprietar verificat,0,Proprietar,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5356349,23.8829677,0.375989268,37.5989268,17.03.2021,2021-03-28-13:00,55366,55357
6,887,47000,CAMPIA TURZII,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,CAMPIA TURZII,0,CAMPIA TURZII,2,2,2,53,0,0,0,0,0,Parter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Finalizat,1,0,0,1,0,Centrala proprie,1,0,Confort I,1,0,0,0,0,Proprietar verificat,0,Proprietar,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5357514,23.8879828,0.379854044,37.9854044,05.04.2021,2021-04-10-17:14,55366,55357
7,870,47000,CAMPIA TURZII,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,CAMPIA TURZII,0,CAMPIA TURZII,2,2,2,54,0,Decomandat,1,0,0,Etaj 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finalizat,1,0,0,1,0,Centrala proprie,1,0,Confort I,1,0,0,0,0,Proprietar verificat,0,Proprietar,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5361029,23.8855646,0.377734778,37.7734778,0,2021-03-28-13:00,55366,55357
8,692,18000,CAMPIA TURZII,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,CAMPIA TURZII,0,CAMPIA TURZII,2,2,1,26,0,0,0,0,0,Etaj 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finalizat,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Proprietar verificat,0,Proprietar,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5362167,23.8838921,0.376351518,37.6351518,15.02.2021,2021-03-28-13:00,55366,55357
9,1040,52000,CAMPIA TURZII,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,CAMPIA TURZII,0,CAMPIA TURZII,2,2,3,50,0,Decomandat,1,0,0,Etaj 4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,Centrala proprie,1,0,0,0,0,0,0,0,Proprietar verificat,0,Proprietar,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5364558,23.8839179,0.376223458,37.6223458,05.04.2021,2021-04-10-17:14,55366,55357
10,702,40000,CAMPIA TURZII,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,CAMPIA TURZII,0,CAMPIA TURZII,2,2,2,57,0,Semidecomandat,0,0,1,Etaj 4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Finalizat,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Proprietar verificat,0,Proprietar,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5365058,23.8859842,0.377815606,37.7815606,13.04.2021,2021-04-17-16:28,55366,55357
